stressed	{(stress)}
mercerizes	{(mercer)}>ize>
pressurizing	{(press)>ure>}>ize>
tickler	{(tickle)}>er>
formally	{(formal)}>ly>
shufflers	{(shuffle)}>er>
annexe	{(annexe)}
nipe's	{(nipe)}
smashers	{(smash)}>er>
amateurs	{(amateur)}
britons	{(britain)>on>}
classicists	{(class)}>ic>>ist>
sleeve	{(sleeve)}
tumult	{(tumult)}
fifteen	{(five)}>teen>
hearthrug	{(hearth)}{(rug)}
separation	{(separ)>ate>}>ion>
antiredeposition	<anti<<re<{(deposit)}>ion>
stockiness	{(stock)}>y>>ness>
clitorises	{(clitoris)}
undervalue	<under<{(value)}
incendiaries	{(incendiar)>y>}
mamma	{(mamma)}
instalments	{<in<(stall)}>ment>
glutamic	{(glutamic)}
snowfall	{(snow)}{(fall)}
manoeuvres	{(manoeuvre)}
illustrative	{(illustrate)}>ive>
barnstorms	{(barn)}{(storm)}
phoning	{(phon)}
article	{(article)}
cutout	{(cut)}{(out)}
illusionary	{(illus)>ion>}>ory>
zone	{(zone)}
overseeing	<over<{(see)}
actually	{(act)>al>}>y>
rowdily	{(rowdy)}>ly>
doorsteps	{(door)}{(step)}
blandness	{(bland)}>ness>
skunked	{(skunk)}
transpire	{<trans<(spir)}
clotheshorse	{(cloth)}{(horse)}
tibet	{(tibet)}
inhibitors	{<in<(hibit)}>or>
togas	{(toga)}
trodden	{(trod)}>en>
insanity	<im<{(sane)}>ity>
clearly	{(clear)}>ly>
extortionists	{<ex<(tort)}>ion>>ist>
kenyan	{(kenya)}>n>
inexperience	<im<{(experience)}
wassails	{(wassail)}
presupposed	<pre<{<su<(pose)}
ageless	{(age)}>less>
swizzles	{(swizzle)}
endives	{(endive)}
drawn	{(draw)}>n>
unfastened	<un<{(fast)}>en>
bastardization	{(bastard)}>ize>>ion>
liaises	{(liaise)}
populated	{(popul)>ate>}
experimental	{(experiment)}>al>
whitsuntide	{(whit)(sun)}{(tide)}
regains	{<re<(gain)}
rye	{(rye)}
boil	{(boil)}
proconsulship	<pro<{(consul)}>ship>
bookmarker	{(book)}{(mark)}>er>
salutes	{(salute)}
gonging	{(gong)}
perfects	{<per<(fect)}
porpoises	{(porpoise)}
consummation	{(consummate)}>ion>
suitably	{(suit)}>able>>y>
somewheres	{(some)}{(where)}
malayans	{(malay)}>ian>
guillaume	{(guillaume)}
inflected	{<in<(flect)}
beholden	{(behold)}>en>
impotent	{<im<(pot)>ant>}
longwindedly	{(long)}{(wind)}>ly>
tightening	{(tight)}>en>
cosmical	{(cosmo)>ic>}>al>
commercialize	{(commerce)}>al>>ize>
interment	{(inter)}>ment>
untoward	<un<{(toward)}
isomers	{(iso)(mer)}
basking	{(bask)}
subconsciousness	<sub<{(conscious)}>ness>
anatomy	{(anatom)>y>}
equably	{(equi)>able>}>y>
alcoholics	{(alcohol)}>ic>
heavens	{(heaven)}
thickest	{(thick)}>est>
gutless	{(gut)}>less>
debs	{(deb)}
stitched	{(stitch)}
congregational	{<co<(greg)>ate>}>ion>>al>
electrified	{(electr)>ify>}
goalkeepers	{(goal)}{(keep)}>er>
blackguard	{(black)(guard)}
oozes	{(ooze)}
appreciative	{<a<(preci)>ate>}>ive>
nostrum	{(nostrum)}
shuttling	{(shuttle)}
butches	{(butch)}
radiocarbon	(radio){(carbon)}
promised	{(promise)}
legacies	{(leg)>acy>}
limning	{(limn)}
mountainside	{(mountain)}{(side)}
propagandized	{(propag)>anda>>ize>}
heiress	{(heir)}>ess>
defoliating	{<de<(foli)>ate>}
auriferous	{(auriferous)}
falsifications	{(false)}>ify>>ion>
interferes	{<inter<(fere)}
scratchpad	{(scratch)}{(pad)}
yankee	{(yank)>ee>}
gormandizes	{(gormand)}>ize>
exploratory	{(explore)}>ory>
bodily	{(body)}>ly>
bourn	{(bourn)}
tors	{(tor)}
eagerness	{(eager)}>ness>
labor	{(labor)}
bejewels	<be<{(jewel)}
fixating	{(fix)}>ate>
morbidity	{(morbid)}>ity>
underwriting	<under<{(write)}
lazes	{(laze)}
weakly	{(weak)}>ly>
enunciation	{(enunciate)}>ion>
instalment	{<in<(stall)}>ment>
reclaim	{<re<(claim)}
pendulous	{(pend)>ule>>ious>}
scanners	{(scan)}>er>
picadors	{(picador)}
crooked	{(crook)}
specifically	{(spec)>ic>}>ly>
mignon	{(mignon)}
scythe	{(scythe)}
demisting	<de<{(mist)}
bifurcations	{(bifurcate)}>ion>
fumblers	{(fumble)}>er>
trisect	{<tri<(sect)}
giddiest	{(giddy)}>est>
sarcastically	{(sarcastic)}>ly>
lambkin	{(lambkin)}
cocks	{(cock)}
neckerchief	{(nec)(kerchief)}
vitriol	{(vitriol)}
disproves	<dis<{(prove)}
firkin	{(firkin)}
romantic	{(romantic)}
detectives	{(detect)}>ive>
commutated	{<co<(mute)}>ate>
inexperienced	<im<{(experience)}
duets	{(duet)}
mountebank	{(mountebank)}
greatest	{(great)}>est>
blackmail	{(black)}{(mail)}
diluting	{(dilute)}
fain	{(fain)}
condensing	{(condense)}
prototypical	{(proto)(typo)}>ic>>al>
compresses	{<co<(press)}
mulching	{(mulch)}
damaging	{(damage)}
arroyo	{(arroyo)}
gunflint	{(gun)}{(flint)}
contemptibly	{(contempt)}>able>>y>
millipede	{<milli<(podo)}
perks	{(perk)}
libellous	{(libel)}>ious>
venezuela	{(venezuela)}
dour	{(dour)}
fenugreek	{(fenugreek)}
dollars	{(dollar)}
persimmons	{(persimmon)}
measureless	{(measure)}>less>
strategic	{(strateg)>ic>}
beveled	{(bevel)}
spiritualize	{(spirit)}>al>>ize>
closedown	{(close)}{(down)}
frosty	{(frost)}>y>
thirteenths	{(three)(teen)}>th>
trustees	{(trust)}>ee>
collectively	{(collect)}>ive>>ly>
cockers	{(cocker)}
crapped	{(crap)}
burped	{(burp)}
proclaimed	{<pro<(claim)}
rapid	{(rapid)}
coincidence	{<co<(incide)}>ance>
monarchism	{<mono<(arch)}>ism>
comedian	{(comedy)}>ian>
policy	{(policy)}
stevens	{(stevens)}
ineducable	<im<{(educable)}
amply	{(ample)}>y>
bootees	{(boot)}>ee>
hob	{(hob)}
thorough	{(thorough)}
jockey	{(jockey)}
calabria	{(calabria)}
simoon	{(simoon)}
tearful	{(tear)}>ful>
initiatives	{(initi)>iat>>ive>}
quadrant	{(quadr)>ant>}
warranted	{(warrant)}
malfunctioned	<mal<{(function)}
handlebars	{(handle)}{(bar)}
linkmen	{(link)}{(men)}
ostracize	{(ostrac)>ize>}
olson's	{(olson)}
catheter	{(catheter)}
liberia	{(liberia)}
bombsite	{(bomb)}{(site)}
bopped	{(bop)}
confirms	{<co<(firm)}
randy	{(randy)}
wallet	{(wallet)}
conclave	{(conclave)}
peeve	{(peeve)}
bolted	{(bolt)}
fingerboard	{(finger)}{(board)}
regent	{(regi)>ant>}
skirmishes	{(skirmish)}
specializations	{(special)}>ize>>ion>
craggiest	{(crag)}>y>>est>
eurydice	{(eurydice)}
madden	{(mad)}>en>
whence	{(whence)}
acceptable	{(accept)}>able>
sleepiest	{(sleep)}>y>>est>
wilts	{(wilt)}
canes	{(cane)}
sketchpad	{(sketch)}{(pad)}
eccentrically	{<ec<(center)>ic>}>ly>
recently	{(recent)}>ly>
greed	{(greed)}
capsicum	{(capsicum)}
bosco	{(bosco)}
rosewood	{(rose)}{(wood)}
heartbreaking	{(heart)}{(break)}
arlington	{(arlington)}
flout	{(flout)}
tablets	{(tablet)}
stepchildren	{(step)}{(child)}
unhesitant	<un<{(hesit)>ant>}
taskmaster	{(task)}{(master)}
trash	{(trash)}
handcuff	{(hand)}{(cuff)}
trinket	{(trinket)}
echoing	{(echo)}
permeability	{(perme)>able>}>ity>
whiner	{(whine)}>er>
emanations	{(emanate)}>ion>
supervises	{<super<(vise)}
polis	{(polis)}
sharpe's	{(sharpe)}
idiosyncratic	{(idio)>syn>>ic>}
barnyard	{(barn)}{(yard)}
gourmands	{(gourmand)}
motored	{(motor)}
seep	{(seep)}
appeased	{(appease)}
pro	{(pro)}
ethicists	{(ethic)}>ist>
transshipment	<trans<{(ship)}>ment>
judith	{(judith)}
genitally	{(genit)>al>}>ly>
loping	{(lope)}
exterminated	{<ex<(termin)>ate>}
synthesis	{<syn<(thes)>sis>}
unmeasured	<un<{(measure)}
croon	{(croon)}
verbose	{(verb)>ose>}
gael	{(gael)}
retread	<re<{(tread)}
reconstruct	<re<{<co<(struct)}
desensitizes	<de<{(sense)>itize>}
ablative	{(ablate)}>ive>
spam	{(spam)}
transit	{(transit)}
clotheslines	{(cloth)}{(line)}
asexual	<a<{(sex)}>al>
redcoats	{(red)}{(coat)}
collarbones	{(collar)}{(bone)}
alpenstocks	{(alpenstock)}
virology	{(vir)(log)>y>}
scherzos	{(scherzo)}
bit	{(bit)}
mongol	{(mongol)}
silhouettes	{(silhouette)}
judas	{(judas)}
advocacy	{<a<(voc)>acy>}
swooper	{(swoop)}>er>
unlike	<un<{(like)}
void	{(void)}
tunic	{(tunic)}
taylors	{(taylor)}
wounding	{(wound)}
tearfulness	{(tear)}>ful>>ness>
minerals	{(mineral)}
maddens	{(mad)}>en>
officiate	{(office)>ate>}
banquets	{(banquet)}
sister	{(sister)}
pillory	{(pillory)}
dandle	{(dandle)}
aggravation	{(aggravate)}>ion>
unmarried	<un<{(marry)}
disobligingly	<dis<{(oblige)}>ly>
pink	{(pink)}
knaves	{(knave)}
dreamlike	{(dream)}{(like)}
haloes	{(halo)}
peeped	{(peep)}
hanging	{(hang)}
photographs	{(photo)(graph)}
schwartz	{(schwartz)}
generalizations	{(gener)>al>}>ize>>ion>
hoisting	{(hoist)}
resistor	{<re<(sist)}>or>
glamour	{(glamour)}
hodges	{(hodges)}
yule	{(yule)}
deathblow	{(death)}{(blow)}
oceanographic	{(ocean)}(graph)>ic>
lapsing	{(lapse)}
seediest	{(seed)}>y>>est>
subcontracted	<sub<{(contract)}
contractual	{(contract)}>al>
mouldings	{(mould)}
twaddle	{(twaddle)}
assessment	{(assess)}>ment>
attracted	{(attract)}
bicycle	{<bi<(cycle)}
thinnest	{(thin)}>est>
treble	{(treble)}
pickles	{(pickle)}
snorty	{(snort)}>y>
fixates	{(fix)}>ate>
introductions	{<intra<(duct)>ion>}
ansley	{(ansley)}
scabrous	{(scabrous)}
asphalts	{(asphalt)}
burbank	{(bur)(bank)}
lamest	{(lame)}>est>
gibber	{(gibber)}
loses	{(lose)}
rediscovering	<re<{(discover)}
pussycat	{(puss)}>y>{(cat)}
sulky's	{(sulk)}>y>
distracting	{<dis<(tract)}
coalescence	{(coalesce)}>ance>
happy	{(happy)}
deviated	{(devi)>ate>}
inkwell	{(ink)}{(well)}
queerest	{(queer)}>est>
ligature	{(ligature)}
tallest	{(tall)}>est>
contradicted	{(contra)(dict)}
then	{(then)}
slowest	{(slow)}>est>
divines	{(divine)}
polycrystalline	<poly<{(crystal)}>ine>
banisters	{(banister)}
transfuse	{(transfuse)}
shiningly	{(shine)}>ly>
misappropriate	<mis<{<a<(propri)>ate>}
connoisseur	{(connoisseur)}
abasing	{<a<(base)}
egregious	{<e<(greg)>ious>}
misadvises	<mis<{(advise)}
slobbers	{(slobber)}
maleness	{(male)}>ness>
investitures	{<in<(vest)}>ure>
forestry	{(forest)}>ory>
chirped	{(chirp)}
bony	{(bone)}>y>
misquotes	<mis<{(quote)}
strivers	{(strive)}>er>
justice	{(just)>ice>}
repentance	{(repent)}>ance>
ponder	{(ponder)}
arrant	{(arrant)}
unction	{(unction)}
tetchier	{(tetchy)}>er>
hazard	{(hazard)}
professorships	{(profess)>or>}>ship>
solidness	{(solid)}>ness>
divinations	{(divine)}>ion>
grazer	{(graze)}>er>
emulsioned	{(emuls)>ion>}
planeten	{(plane)}{(ten)}
pounced	{(pounce)}
inaccurately	<im<{(accur)>ate>}>ly>
saute	{(saute)}
accomplishment	{(accomplish)}>ment>
oldsters	{(old)}>ster>
readable	{(read)}>able>
dispensed	{(dispense)}
unavoidably	<un<{(avoid)}>able>>y>
guides	{(guide)}
unfeigned	<un<{(feign)}
frans	{(fran)}
badgering	{(badger)}
granville	{(granville)}
philosophical	{(philo)(soph)>ic>}>al>
southey	{(south)>ey>}
ship	{(ship)}
dew	{(dew)}
cavort	{(cavort)}
bereft	{(bereft)}
recruited	{(recruit)}
abstrusely	{(abstruse)}>ly>
platoon	{(platoon)}
nestor	{(nestor)}
icon	{(icon)}
conjoining	<co<{(join)}
barnet	{(barnet)}
summarily	{(summar)>y>}>ly>
summertimes	{(summer)}{(time)}
pepping	{(pep)}
slants	{(slant)}
occidental	{(occident)}>al>
salt	{(salt)}
flinty	{(flint)}>y>
habitude	{(habit)>itude>}
statesmen	{(state)}(men)
sedate	{(sedate)}
sectionalized	{(sect)>ion>}>al>>ize>
assemblages	{<a<(semble)}>age>
whisk	{(whisk)}
suffragette	{(suffrage)}>ette>
subventions	{<sub<(vent)>ion>}
manager	{(manage)}>er>
plopping	{(plop)}
admixing	{<a<(mix)}
jobbing	{(job)}
haystacks	{(hay)}{(stack)}
importantly	{(import)>ant>}>ly>
thermosetting	(thermo){(set)}
weatherman	{(weather)}{(man)}
infectious	{<in<(fect)}>ious>
febrile	{(febrile)}
connexion	{(connexion)}
moon's	{(moon)}
finial	{(finial)}
enact	<en<{(act)}
doltish	{(dolt)}>ish>
answerably	{(answer)}>able>>y>
hinges	{(hinge)}
softball	{(soft)}{(ball)}
published	{(publish)}
dwindled	{(dwindle)}
obsessing	{(obsess)}
restorer	{(restore)}>er>
breves	{(breve)}
recollected	{(recollect)}
bigotry	{(bigot)}>ory>
kindliest	{(kind)}>ly>>est>
completion	{(complete)}>ion>
babel	{(babel)}
abacuses	{(abacus)}
mayor	{(mayor)}
rapports	{(rapport)}
misbehaves	<mis<{(behave)}
colourfast	{(color)}{(fast)}
koenigsberg	{(koenigsberg)}
spec	{(spec)}
hawkers	{(hawk)}>er>
clarinettist	{(clarinet)}>ist>
refreshment	{<re<(fresh)}>ment>
aforethought	{(afore)}{(thought)}
hulls	{(hull)}
idolizations	{(idol)}>ize>>ion>
ramify	{(ramify)}
obsequies	{(obsequi)}
gong	{(gong)}
fiddler	{(fiddle)}>er>
apiculture	{(api)(culture)}
gibe	{(gibe)}
stadiums	{(stadium)}
talkers	{(talk)}>er>
hardener	{(hard)}>en>>er>
sprayer	{(spray)}>er>
rancor	{(rancor)}
odysseus	{(odysseus)}
percentiles	{(percent)}>ile>
gunners	{(gun)}>er>
traipsed	{(traipse)}
microcytochemistry	<micro<(cyto){(chem)>ist>}>ory>
worthies	{(worth)}>y>
foretelling	<fore<{(tell)}
lashed	{(lash)}
basil's	{(basil)}
medicis	{(medici)}
yawns	{(yawn)}
finley	{(finley)}
slav	{(slav)}
seaward	{(sea)}>ward>
matching	{(match)}
federalist	{(feder)>al>}>ist>
localisms	{(loc)>ale>}>ism>
dutch	{(dutch)}
adjectivally	{(adjective)}>al>>ly>
jonquil	{(jonquil)}
begrimed	<be<{(grime)}
exhorts	{(exhort)}
xenophobic	{(xeno)(phobe)}>ic>
willpower	{(will)}{(power)}
hues	{(hue)}
centred	{(centre)}
trainbearer	{(train)}{(bear)}>er>
quebec	{(quebec)}
cowled	{(cowl)}
comports	{(comport)}
hobgoblins	{(hob)}{(goblin)}
hemline	{(hem)}{(line)}
spectators	{(spect)>ate>}>or>
depredated	{<de<(pred)>ate>}
shielded	{(shield)}
differentiating	{(differ)}>ant>>ate>
delegations	{(deleg)>ate>}>ion>
cheery	{(cheer)}>y>
insuring	{<in<(sure)}
reciprocal	{(reciproc)>al>}
molested	{(molest)}
spouting	{(spout)}
ethnographer	{(ethn)(graph)>er>}
raindrops	{(rain)}{(drop)}
radiology	{(radio)(log)>y>}
broiling	{(broil)}
ambitiously	{(ambit)>ious>}>ly>
clapping	{(clap)}
tornado	{(tornado)}
harasses	{(harass)}
flooding	{(flood)}
fanlight	{(fan)}{(light)}
masers	{(maser)}
safekeeping	{(safe)}{(keep)}
bittiest	{(bit)}>y>>est>
pretext	{(pretext)}
uncoupling	<un<{(couple)}
chestily	{(chest)}>y>>ly>
pseudo	{(pseudo)}
repletion	{(replete)}>ion>
hostellers	{(hostel)}>er>
realizes	{(realize)}
spoonerisms	{(spooner)}>ism>
moneymakers	{(money)}{(make)}>er>
gooses	{(goose)}
nickname	{(nick)}{(name)}
buckhorn's	{(buck)}{(horn)}
priestlike	{(priest)}{(like)}
torsos	{(torso)}
civilizing	{(civil)}>ize>
tangier	{(tangier)}
bracelet	{(brace)}>let>
reporters	{<re<(port)}>er>
bulling	{(bull)}
disrobing	<dis<{(robe)}
weatherproof	{(weather)}{(proof)}
institution	{<in<(stitute)}>ion>
colorado	{(colorado)}
ordering	{(order)}
deluging	{(deluge)}
depopulation	<de<{(popul)>ate>}>ion>
squirm	{(squirm)}
saunas	{(sauna)}
mission	{(mission)}
speller	{(spell)}>er>
milord	{(my)(lord)}
shouldered	{(shoulder)}
wagging	{(wag)}
carpenter's	{(carpenter)}
stoical	{(stoic)}>al>
upcoming	<up<{(come)}
exceeded	{(exceed)}
acidity	{(acid)}>ity>
hoodoo	{(hoodoo)}
bursts	{(burst)}
admiring	{(admire)}
calumniated	{(calumny)}>ate>
compositions	{<co<(pose)}>it>>ion>
indigenously	{(indigenous)}>ly>
grizzlies	{(grizzle)}>y>
coloureds	{(color)}
spacing	{(space)}
goliaths	{(goliath)}
unconstitutional	<un<{<co<(stitute)}>ion>>al>
burgundies	{(burgundy)}
remarks	{(remark)}
turnstiles	{(turn)}{(stile)}
cabin	{(cabin)}
friendlily	{(friend)}>ly>>ly>
federalism	{(feder)>al>}>ism>
frosted	{(frost)}
unitarians	{(un)}>it>>ory>>ian>
vociferate	{(voc)>ifer>>ate>}
pottages	{(pottage)}
greengroceries	{(green)}{(grocer)}>y>
insubstantial	<im<{(substance)}>al>
amphibious	{(amphibio)>ious>}
suffix	{(suffix)}
motorcycles	{(motor)}{(cycle)}
birettas	{(biretta)}
outwitting	<out<{(wit)}
case	{(case)}
nothings	{(no)(thing)}
euphoniums	{<eu<(phon)>ium>}
disappointing	{<dis<(appoint)}
miseries	{(miser)>y>}
conservatoire	{<co<(serve)>atoire>}
punctuated	{(punctuate)}
tremor	{(tremor)}
genealogy	{(gen)(log)>y>}
discountenancing	<dis<{(countenance)}
conveying	{(convey)}
dacoits	{(dacoit)}
palavering	{(palaver)}
apologetically	{(apolog)>ic>}>ly>
credo	{(credo)}
envenoms	<en<{(venom)}
hawthorns	{(hawthorn)}
brawling	{(brawl)}
environing	{(environ)}
predictability	{<pre<(dict)}>able>>ity>
entombed	<en<{(tomb)}
safeguards	{(safe)}{(guard)}
suggestible	{(suggest)}>able>
sulking	{(sulk)}
supplicates	{(supplic)>ate>}
grots	{(grot)}
rickettsia	{(rickettsia)}
trolleys	{(trolley)}
inculcation	{(inculcate)}>ion>
intersection	{<inter<(sect)}>ion>
palfrey	{(palfrey)}
authoritarianism	{(author)>ian>}>ism>
redden	{(red)}>en>
wizardry	{(wizard)}>ory>
preserve	{<pre<(serve)}
naughts	{(naught)}
ibsen	{(ibsen)}
jess	{(jess)}
tweezers	{(tweezer)}
clogs	{(clog)}
yellowing	{(yellow)}
countervailed	{(counter)(vail)}
kayak	{(kayak)}
scatter	{(scatter)}
marauder	{(maraud)}>er>
mulled	{(mull)}
gneiss	{(gneiss)}
unmanned	<un<{(mann)}
dosshouse	{(doss)}{(house)}
stone's	{(stone)}
untruths	<un<{(truth)}
partnering	{(partner)}
remembrance	{(remember)>ance>}
materiel	{(materiel)}
rioters	{(riot)}>er>
portraiture	{(portray)}>ure>
curd	{(curd)}
exacerbates	{<ex<(acerb)>ate>}
booking	{(book)}
rasping	{(rasp)}
witheringly	{(wither)}>ly>
nicer	{(nice)}>er>
freebie	{(free)>bie>}
curtain	{(curtain)}
outrun	<out<{(run)}
atoms	{(atom)}
centipede	{<centi<(podo)}
bulldozers	{(bull)}{(doze)}>er>
embittered	<en<{(bitter)}
nirvanas	{(nirvana)}
loganberries	{(logan)(berry)}
picador	{(picador)}
tantrums	{(tantrum)}
accosting	{(accost)}
choicer	{(choice)}>er>
trumpeting	{(trumpet)}
returned	{(return)}
worth	{(worth)}
dribblers	{(dribble)}>er>
altar	{(altar)}
aeroplane	(aero){(plane)}
duplicity	{<du<(plic)>ity>}
dictating	{(dict)>ate>}
scheduling	{(schedule)}
olympia	{(olympia)}
overcome	<over<{(come)}
liveried	{(livery)}
expressing	{<ex<(press)}
presentness	{(present)}>ness>
blutwurst	{(blutwurst)}
mediated	{(mediate)}
grenadier	{(grenade)}>er>
retouch	<re<{(touch)}
puddingstone	{(pudding)}{(stone)}
basilisks	{(basilisk)}
enhancing	{(enhance)}
fights	{(fight)}
rated	{(rate)}
carryouts	{(carry)}{(out)}
slovenliness	{(sloven)}>ly>>ness>
boners	{(bone)}>er>
moralities	{(morale)}>ity>
intentional	{<in<(tend)}>ion>>al>
splendor	{(splendor)}
imprison	<in<{(prison)}
eviction	{(evict)}>ion>
outed	{(out)}
antithetical	{<anti<(thet)>ic>}>al>
senors	{(senor)}
fraught	{(fraught)}
jaywalks	{(jay)}{(walk)}
swinges	{(swinge)}
behoves	{(behove)}
welshman	{(welsh)}(man)
preterites	{(preterite)}
firmaments	{(firmament)}
vivas	{(vive)}
huxley's	{(huxley)}
appallingly	{(appall)}>ly>
spiral	{(spiral)}
armbands	{(arm)}{(band)}
orthicon	{(orthicon)}
meet	{(meet)}
regina	{(regina)}
ghana	{(ghana)}
blind	{(blind)}
canted	{(cant)}
tamable	{(tame)}>able>
slacking	{(slack)}
unexplored	<un<{(explore)}
shameless	{(shame)}>less>
monomanias	{<mono<(mania)}
unabated	<un<{(abate)}
quested	{(quest)}
sonority	{(sonority)}
straying	{(stray)}
anticlockwise	<anti<{(clock)}>wise>
room	{(room)}
quagmire	{(quagmire)}
beth	{(beth)}
accountancy	{(account)}>ance>>y>
misbehavior	<mis<{(behave)}>or>
tattooed	{(tattoo)}
illuminations	{<in<(lumin)>ate>}>ion>
pillorying	{(pillory)}
transforming	<trans<{(form)}
quid	{(quid)}
catamaran	{(catamaran)}
solicitor	{(solicit)}>or>
jotted	{(jot)}
instrumentalities	{(instrument)}>al>>ity>
antirrhinum	{(antirrhinum)}
grans	{(gran)}
cocked	{(cock)}
tetchily	{(tetchy)}>ly>
fowl	{(fowl)}
headships	{(head)}>ship>
broom	{(broom)}
perfectionist	{<per<(fect)}>ion>>ist>
leaflets	{(leaf)}>let>
grimace	{(grimace)}
acuity	{(acuity)}
aspersions	{<a<(sperse)}>ion>
tiebreaker	{(tie)}{(break)}>er>
stark	{(stark)}
burgle	{(burgle)}
pants	{(pant)}
satirize	{(satire)}>ize>
wordless	{(word)}>less>
unpleasantnesses	<un<{(please)>ant>}>ness>
designated	{(design)}>ate>
biassed	{(bias)}
smoke	{(smoke)}
goggling	{(goggle)}
aficionado	{(aficionado)}
bezique	{(bezique)}
fabricating	{(fabric)}>ate>
gob	{(gob)}
inflammatory	<in<{(flame)}>ory>
reduplicates	<re<{<du<(plic)>ate>}
actuality	{(act)>al>}>ity>
kelley's	{(kelley)}
submits	{(submit)}
nationals	{(nation)}>al>
brawler	{(brawl)}>er>
humanitarian	{(human)}>ian>
principled	{(principle)}
thunderbolt	{(thunder)}{(bolt)}
antagonize	{(antagon)>ize>}
streetlight	{(street)}{(light)}
tubes	{(tube)}
interminable	<im<{(termin)>able>}
friendliness	{(friend)}>ly>>ness>
mightiest	{(might)}>y>>est>
demystification	<de<{(myst)>ify>}>ion>
soakers	{(soak)}>er>
clint	{(clint)}
untowardly	<un<{(toward)}>ly>
hydrolysis	{(hydro)>lys>>sis>}
romania	{(romania)}
iota	{(iota)}
overflows	<over<{(flow)}
coughs	{(cough)}
detector	{(detect)}>or>
virginity	{(virgin)}>ity>
instrumenting	{(instrument)}
missile's	{(missile)}
glens	{(glen)}
outcomes	<out<{(come)}
anaesthetist	{<a<<aes<(thet)>ist>}
shamming	{(sham)}
tonal	{(tone)}>al>
compare	{(compare)}
cordage	{(cordage)}
eyewitness	{(eye)}{(witness)}
correlation	{<co<(relate)}>ion>
penalization	{(penal)}>ize>>ion>
culbertson	{(culbertson)}
demobbed	{(demob)}
unkindest	<un<{(kind)}>est>
perennials	{<per<(ann)>al>}
arrest	{(arrest)}
ordeals	{(ordeal)}
endosperm	(endo){(sperm)}
chinless	{(china)}>less>
sceptres	{(sceptre)}
diversionary	{(diverse)}>ion>>ory>
ketosis	{(ketosis)}
haziest	{(haze)}>y>>est>
transylvania	{(transylvania)}
premierships	{(premier)}>ship>
immoderately	<im<{(moderate)}>ly>
lettuce	{(lettuce)}
weathercocks	{(weather)}{(cock)}
vermin	{(vermin)}
firewatchers	{(fire)}{(watch)}>er>
tree	{(tree)}
landscape	{(land)}(scape)
blethers	{(blether)}
unliterary	<un<{(litera)>ory>}
gossamers	{(gossamer)}
oceanographers	{(ocean)}(graph)>er>
stuffed	{(stuff)}
hindrance	{(hinder)>ance>}
australasians	{(australasia)}>n>
risotto	{(risotto)}
tomfoolery	{(tom)}{(fool)}>ory>
vomited	{(vomit)}
loathed	{(loathe)}
attaches	{(attach)}
permitting	{(permit)}
rocketing	{(rocket)}
